Threshold equalization distributions
Type: THL with noise edge
From: 500
To: 100
Step: -2
Chip 0
Adj. bits 0	Adj. bits 15	Adj. equalized
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         1	         0
         0	         2	         0
         0	         3	         0
         0	         3	         0
         0	         9	         0
         0	        30	         0
         0	        42	         0
         0	       114	         0
         0	       182	         0
         0	       291	         0
         0	       449	         0
         0	       742	         0
         0	      1060	         0
         0	      1589	         0
         0	      2031	         0
         0	      2623	         0
         0	      3368	         0
         0	      4257	         0
         0	      4506	         0
         0	      5468	         0
         0	      5589	         0
         0	      5358	         0
         0	      4647	         0
         0	      4968	         0
         0	      4567	         0
         0	      3801	         0
         0	      2883	         0
         1	      2005	         2
         3	      1664	         1
         1	      1183	         3
         6	       832	        33
        12	       497	       369
        25	       319	      4224
        50	       201	     16832
       131	       130	     28780
       195	        51	     13900
       321	        29	      1326
       537	        19	        46
       859	        14	        11
      1258	         5	         3
      1635	         0	         3
      2232	         1	         0
      2928	         0	         0
      3584	         0	         0
      4230	         0	         0
      5057	         0	         0
      5254	         0	         0
      5543	         0	         0
      5286	         0	         0
      5141	         0	         0
      5016	         0	         0
      3814	         0	         0
      3354	         0	         0
      2627	         0	         0
      1999	         0	         0
      1483	         0	         0
      1114	         0	         0
       740	         0	         0
       391	         0	         0
       304	         0	         0
       179	         0	         0
       106	         0	         0
        52	         0	         0
        34	         0	         0
        18	         0	         0
         8	         0	         0
         1	         0	         0
         3	         0	         0
         1	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
